log_id,user_id,action,entity_type,entity_id,payload,ip_address,status_code,created_at
1,USR_1040,ORDER_CREATE,CUSTOMER,13836,"{""batch"": ""BATCH_199"", ""risk_score"": 0.186, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 13836""}",10.208.219.28,400,2026-08-30 19:37:12
2,USR_1075,TRANSFER_INITIATE,WIRE_BATCH,11045,"{""batch"": ""BATCH_721"", ""risk_score"": 0.271, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 11045""}",10.26.71.247,200,2026-09-04 14:35:37
3,USR_1008,ORDER_CREATE,ACCOUNT,12087,"{""batch"": ""BATCH_950"", ""risk_score"": 0.847, ""flagged"": false, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 12087""}",10.127.25.112,200,2026-09-10 18:19:52
4,USR_1080,BALANCE_INQUIRY,WIRE_BATCH,11483,"{""batch"": ""BATCH_394"", ""risk_score"": 0.806, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 11483""}",10.96.110.181,200,2026-08-25 05:05:34
5,USR_1078,ORDER_UPDATE,ACCOUNT,13686,"{""batch"": ""BATCH_214"", ""risk_score"": 0.685, ""flagged"": false, ""auth_method"": ""OAUTH2_BEARER"", ""note"": ""Transaction validation for entity 13686""}",10.75.226.89,200,2026-09-15 08:47:32
6,USR_1090,BALANCE_INQUIRY,CUSTOMER,13785,"{""batch"": ""BATCH_783"", ""risk_score"": 0.912, ""flagged"": true, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 13785"", ""review_required"": true, ""reason"": ""Elevated risk threshold exceeded""}",10.92.43.203,200,2026-09-08 06:45:48
7,USR_1087,ACCOUNT_AUTH,ACCOUNT,10276,"{""batch"": ""BATCH_953"", ""risk_score"": 0.918, ""flagged"": true, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 10276"", ""review_required"": true, ""reason"": ""Elevated risk threshold exceeded""}",10.166.45.12,200,2026-09-01 05:27:28
8,USR_1033,TRANSFER_INITIATE,AUTH_SESSION,12058,"{""batch"": ""BATCH_997"", ""risk_score"": 0.221, ""flagged"": false, ""auth_method"": ""MTLS_CERT"", ""note"": ""Transaction validation for entity 12058""}",10.148.128.54,200,2026-09-15 04:12:39
9,USR_1054,ORDER_CREATE,CUSTOMER,11208,"{""batch"": ""BATCH_260"", ""risk_score"": 0.686, ""flagged"": false, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 11208""}",10.3.28.119,200,2026-08-26 20:11:04
10,USR_1057,POLICY_EVAL,WIRE_BATCH,11958,"{""batch"": ""BATCH_426"", ""risk_score"": 0.164, ""flagged"": false, ""auth_method"": ""API_KEY"", ""note"": ""Transaction validation for entity 11958""}",10.24.228.236,400,2026-09-11 05:48:43
