order_id,account_id,customer_id,order_type,amount,currency,status,merchant_name,created_at,updated_at
10001,5561,488,FX_CONVERSION,57224.41,USD,PENDING,Microsoft Azure Cloud,2026-08-06 02:33:57,2026-08-06 03:06:48
10002,5989,395,CARD_AUTH,59852.92,USD,COMPLETED,Target Retail Network,2026-08-04 15:27:00,2026-08-04 16:20:07
10003,5799,207,ACH_DEBIT,97084.2,USD,ON_HOLD,JPMorgan Settlement Corp,2026-07-31 12:47:37,2026-07-31 13:28:27
10004,5503,411,MERCHANT_SETTLEMENT,110390.13,USD,COMPLETED,Visa Direct Global,2026-08-01 13:41:27,2026-08-01 14:30:33
10005,5682,50,CARD_AUTH,55134.65,USD,COMPLETED,Apple Services US,2026-09-01 01:43:36,2026-09-01 02:36:40
10006,5488,138,FX_CONVERSION,90061.3,USD,COMPLETED,Fedwire Interbank Net,2026-08-24 13:49:22,2026-08-24 15:13:15
10007,5191,223,INTERNAL_BOOK_TRANSFER,63917.2,USD,COMPLETED,Oracle Cloud Infra,2026-08-22 00:05:38,2026-08-22 01:09:00
10008,5693,115,INTERNAL_BOOK_TRANSFER,102943.48,USD,COMPLETED,Apple Services US,2026-09-09 00:25:09,2026-09-09 01:51:11
10009,5663,269,WIRE_TRANSFER,43623.54,USD,PENDING,Stripe Clearing Inc,2026-09-04 04:41:09,2026-09-04 05:22:14
10010,5153,66,INTERNAL_BOOK_TRANSFER,135438.02,USD,FAILED,Target Retail Network,2026-09-08 14:39:49,2026-09-08 15:38:17
10011,5303,292,WIRE_TRANSFER,82660.6,USD,COMPLETED,Oracle Cloud Infra,2026-07-30 06:34:19,2026-07-30 07:44:07
10012,5436,212,WIRE_TRANSFER,69712.13,USD,ON_HOLD,Visa Direct Global,2026-08-13 10:11:23,2026-08-13 10:59:59
10013,5261,300,WIRE_TRANSFER,115302.92,USD,COMPLETED,Stripe Clearing Inc,2026-09-02 18:21:25,2026-09-02 18:46:00
10014,5806,94,CARD_AUTH,58959.08,USD,COMPLETED,Fedwire Interbank Net,2026-08-17 17:20:23,2026-08-17 18:03:19
