recon_id,source_system,external_ref,internal_order_id,amount,currency,status,discrepancy_reason,reconciled_at
80001,FED_ACH_CLEARING,EXT-8031429,12208,11858.43,USD,MATCHED,,2026-09-09 10:01:10
80002,CARD_PAYMENT_GATEWAY,EXT-7912779,10718,40257.28,USD,MATCHED,,2026-09-16 18:51:13
80003,SWIFT_FIN,EXT-2444611,12250,43060.56,USD,MATCHED,,2026-09-10 10:51:50
80004,SWIFT_FIN,EXT-2854161,12985,26663.3,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-13 14:34:10
80005,CARD_PAYMENT_GATEWAY,EXT-8918030,12944,82341.56,USD,DISCREPANCY,FEE_DEDUCTION_VARIANCE,2026-09-17 17:46:31
80006,FED_ACH_CLEARING,EXT-1130090,11946,83032.13,USD,MATCHED,,2026-09-13 02:15:00
80007,SWIFT_FIN,EXT-5042576,11188,76739.38,USD,MATCHED,,2026-09-15 07:25:56
80008,SWIFT_FIN,EXT-7110052,13193,39162.64,USD,MATCHED,,2026-09-16 11:20:07
80009,SWIFT_FIN,EXT-7939438,10145,38132.74,USD,DISCREPANCY,FEE_DEDUCTION_VARIANCE,2026-09-07 00:15:35
80010,FED_ACH_CLEARING,EXT-8859410,12519,28117.31,USD,MATCHED,,2026-09-17 04:32:07
80011,CARD_PAYMENT_GATEWAY,EXT-8107315,11171,35086.73,USD,DISCREPANCY,AMOUNT_MISMATCH,2026-09-14 05:27:12
80012,INTERNAL_LEDGER,EXT-7588142,12739,32544.8,USD,MATCHED,,2026-09-09 18:14:11
80013,SWIFT_FIN,EXT-4067006,14653,53338.74,USD,MATCHED,,2026-09-11 18:32:59
80014,CARD_PAYMENT_GATEWAY,EXT-8091614,10894,9689.12,USD,MATCHED,,2026-09-12 20:19:23
80015,CARD_PAYMENT_GATEWAY,EXT-3848199,12317,43263.07,USD,MATCHED,,2026-09-10 04:31:32
80016,SWIFT_FIN,EXT-8339750,14194,9364.85,USD,MATCHED,,2026-09-09 11:31:55
80017,FED_ACH_CLEARING,EXT-4241697,10120,870.35,USD,MATCHED,,2026-09-13 12:27:57
80018,CARD_PAYMENT_GATEWAY,EXT-7977431,12945,42328.47,USD,UNMATCHED,PENDING_SETTLEMENT_FILE,2026-09-17 19:06:02
